date,state,district,pincode,demo_age_5_17,demo_age_17_
01-05-2025,Rajasthan,Hanumangarh,335526,46,510
01-05-2025,Chhattisgarh,Janjgir-champa,495689,95,1094
01-05-2025,Madhya Pradesh,Shahdol,484110,98,814
01-05-2025,Uttar Pradesh,Bareilly,243122,255,2104
01-05-2025,Uttar Pradesh,Moradabad,244001,1184,9688
01-05-2025,Andhra Pradesh,Eluru,521201,59,319
01-05-2025,Andhra Pradesh,Chittoor,517132,42,341
01-05-2025,Uttarakhand,Udham Singh Nagar,263152,154,1032
01-05-2025,Haryana,Hisar,125004,31,187
01-05-2025,Karnataka,Uttara Kannada,581402,65,300
01-05-2025,Andhra Pradesh,Nandyal,518422,71,371
01-05-2025,Madhya Pradesh,Barwani,451666,552,2229
01-05-2025,Andhra Pradesh,Srikakulam,532458,65,326
01-05-2025,Karnataka,Bengaluru,560021,55,272
01-05-2025,Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,533216,30,186
01-05-2025,Maharashtra,Pune,411062,162,1062
01-05-2025,Haryana,Bhiwani,127046,47,277
01-05-2025,Gujarat,Valsad,396001,186,940
01-05-2025,Karnataka,Ballari,583101,200,723
01-05-2025,Karnataka,Yadgir,585202,198,615
01-05-2025,Punjab,SAS Nagar (Mohali),140603,123,1467
01-05-2025,Uttar Pradesh,Agra,282001,670,5010
01-05-2025,Madhya Pradesh,Mandla,481998,76,297
01-05-2025,Andhra Pradesh,Chittoor,517590,71,387
01-05-2025,Maharashtra,Chandrapur,442907,31,527
01-05-2025,Haryana,Karnal,132117,32,215
01-05-2025,Madhya Pradesh,Indore,453551,50,529
01-05-2025,Madhya Pradesh,Khargone,451221,57,300
01-05-2025,Punjab,Amritsar,143001,514,5997
01-05-2025,Andhra Pradesh,Guntur,522438,71,376
01-05-2025,Delhi,South Delhi,110062,511,5145
01-05-2025,Gujarat,Surat,394445,128,332
01-05-2025,Madhya Pradesh,Mandsaur,458880,140,513
01-05-2025,Madhya Pradesh,Dhar,454552,160,1030
01-05-2025,Uttarakhand,Champawat,262524,81,607
01-05-2025,Chhattisgarh,Balod,491228,114,640
01-05-2025,Andhra Pradesh,Srikakulam,532440,67,400
01-05-2025,Karnataka,Mysuru,570017,53,272
01-05-2025,Karnataka,Gadag,582103,156,331
01-05-2025,Madhya Pradesh,Ujjain,456661,19,167
01-05-2025,Andhra Pradesh,East Godavari,534350,45,245
01-05-2025,Andhra Pradesh,Srikakulam,532201,213,853
01-05-2025,Haryana,Yamuna Nagar,135003,157,958
01-05-2025,Karnataka,Mysuru,570008,48,430
01-05-2025,Haryana,Rohtak,124001,323,1615
01-05-2025,Rajasthan,Ajmer,305901,121,1384
01-05-2025,Rajasthan,Pali,306401,118,1146
01-05-2025,Maharashtra,Chandrapur,441205,21,242
01-05-2025,Gujarat,Ahmedabad,380051,145,1218
01-05-2025,Andhra Pradesh,Kurnool,518218,53,242
01-05-2025,Andhra Pradesh,Kurnool,518422,114,502
01-05-2025,Karnataka,Shivamogga,577204,100,364
01-05-2025,Uttarakhand,Udham Singh Nagar,244713,549,3553
01-05-2025,West Bengal,Birbhum,731237,73,572
01-05-2025,Andhra Pradesh,Kurnool,518004,131,497
01-05-2025,Madhya Pradesh,Damoh,470666,58,211
01-05-2025,Haryana,Kurukshetra,136156,21,187
01-05-2025,Madhya Pradesh,Bhopal,462003,93,738
01-05-2025,Haryana,Sonipat,131021,54,240
01-05-2025,Karnataka,Kalaburagi,585101,110,324
01-05-2025,Gujarat,Ahmedabad,380026,292,1940
01-05-2025,Karnataka,Tumakuru,572227,47,148
01-05-2025,Madhya Pradesh,Mandla,481996,201,737
01-05-2025,Madhya Pradesh,Indore,452007,78,640
01-05-2025,Andhra Pradesh,Srikakulam,532213,98,408
01-05-2025,Karnataka,Bangalore Rural,561203,261,1310
01-05-2025,Andhra Pradesh,Krishna,521121,48,310
01-05-2025,Karnataka,Davangere,577002,95,309
01-05-2025,Karnataka,Bengaluru,560043,202,1345
01-05-2025,Andhra Pradesh,Palnadu,522601,157,852
01-05-2025,Haryana,Gurgaon,122004,121,994
01-05-2025,Maharashtra,Mumbai Suburban,400043,297,1722
01-05-2025,Rajasthan,Nagaur,341505,52,769
01-05-2025,Karnataka,Koppal,583227,191,668
01-05-2025,Madhya Pradesh,Rewa,486446,63,486
01-05-2025,West Bengal,Puruliya,723143,86,578
01-05-2025,Karnataka,Bengaluru,560064,208,1278
01-05-2025,Madhya Pradesh,Sagar,470004,94,551
01-05-2025,Jammu and Kashmir,Kathua,184204,23,291
01-05-2025,Maharashtra,Pune,412105,196,1520
01-05-2025,Haryana,Rohtak,124111,16,103
01-05-2025,Karnataka,Bengaluru,560045,229,985
01-05-2025,Madhya Pradesh,Dhar,454111,85,768
01-05-2025,Uttar Pradesh,Meerut,250001,449,4296
01-05-2025,West Bengal,Murshidabad,742135,123,1250
01-05-2025,Andhra Pradesh,Kurnool,518003,245,1031
01-05-2025,Karnataka,Bengaluru,560083,143,687
01-05-2025,Rajasthan,Jaipur,302012,403,3537
01-05-2025,Gujarat,Surat,395007,280,2138
01-05-2025,Andhra Pradesh,Chittoor,517501,181,1176
01-05-2025,Madhya Pradesh,Morena,476221,272,1712
01-05-2025,Madhya Pradesh,Khargone,451001,182,953
01-05-2025,West Bengal,Murshidabad,742187,67,585
01-05-2025,Karnataka,Gadag,582116,164,338
01-05-2025,Madhya Pradesh,Indore,452015,125,701
01-05-2025,Madhya Pradesh,Hoshangabad,461111,88,294
01-05-2025,Andhra Pradesh,Sri Sathya Sai,515271,34,129
01-05-2025,Rajasthan,Ganganagar,335001,157,1909
01-05-2025,Karnataka,Kalaburagi,585228,88,227
01-05-2025,Madhya Pradesh,Sagar,470335,117,922
01-05-2025,Madhya Pradesh,Seoni,480999,76,521
01-05-2025,Madhya Pradesh,Sagar,470441,27,231
01-05-2025,Punjab,Amritsar,143105,81,1186
01-05-2025,Andhra Pradesh,East Godavari,534301,50,318
01-05-2025,West Bengal,Puruliya,723213,78,498
01-05-2025,Madhya Pradesh,Harda,461228,51,234
01-05-2025,Gujarat,Gandhinagar,382721,315,2476
01-05-2025,Maharashtra,Mumbai City,400008,84,482
01-05-2025,Karnataka,Koppal,583238,171,536
01-05-2025,Andhra Pradesh,Ananthapuramu,515775,88,216
01-05-2025,Telangana,Hyderabad,500006,216,906
01-05-2025,Tamil Nadu,Vellore,632001,108,639
01-05-2025,Delhi,North West Delhi,110033,321,2804
01-05-2025,Karnataka,Bengaluru,560078,165,1024
01-05-2025,West Bengal,Puruliya,723129,66,669
01-05-2025,Madhya Pradesh,Katni,483501,318,2243
01-05-2025,Andhra Pradesh,Guntur,522001,195,1208
01-05-2025,Andhra Pradesh,Annamayya,516267,50,205
01-05-2025,West Bengal,Murshidabad,742237,59,345
01-05-2025,Chhattisgarh,Bemetara,491335,237,2875
01-05-2025,Gujarat,Mahesana,384315,95,766
01-05-2025,Madhya Pradesh,Indore,453331,79,618
01-05-2025,Karnataka,Haveri,581202,50,258
01-05-2025,Gujarat,Valsad,396191,184,1222
01-05-2025,Madhya Pradesh,Narmadapuram,461001,41,202
01-05-2025,Madhya Pradesh,Chhindwara,480559,136,686
01-05-2025,Andhra Pradesh,Annamayya,517234,47,179
01-05-2025,Madhya Pradesh,Sagar,470002,157,1252
01-05-2025,Chandigarh,Chandigarh,160101,314,1107
01-05-2025,Madhya Pradesh,Narsinghpur,487001,102,498
01-05-2025,Andhra Pradesh,West Godavari,534123,45,227
01-05-2025,Karnataka,Haveri,581111,68,239
